PLACE,ADDRESS
"["" Шаровский замок""]","["" Шаровка"", ""Харьковская область""]"
"["" Памятник Т. Г. Шевченко""]","["" Харьков"", ""памятник Т. Г. Шевченко""]"
"["" Мемориальный комплекс «Дробицкий яр»""]","["" Харьков"", ""Дробицкий яр""]"
"["" Памятник основателям Харькова""]","["" Харьков"", ""памятник основателям Харькова""]"
"["" Памятник князю Владимиру""]","["" Харьков"", ""ул. Героев Труда"", ""43а""]"
"["" Памятник апостолу Андрею Первозванному""]","["" Харьков"", ""сквер «Стрелка»""]"
"["" Фельдман Экопарк""]","["" Харьковская область"", ""Дергачевский район"", ""поселок Лесное"", ""ул. Киевское шоссе"", ""12""]"
"["" Площадь Свободы""]","["" Харьков"", ""площадь Свободы""]"
"["" Поющие террасы""]","["" с. Городнее"", ""Поющие террасы""]"
"["" ХНАТОБ (Харьковский национальный театр оперы и балета имени Н.В. Лысенко)""]","["" Харьков"", ""улица Сумская"", ""25""]"
"["" Одно из самых живописных мест Харьковской области: горно-обогатительный Комбинат"", ""Новоселовка""]","["" ул. Песчаная"", ""2"", ""с. Новоселовка"", ""Нововодолажский район"", ""Харьковская область"", ""63209""]"
"["" Заброшенный аэродром в Волчанске""]","["" Волчанск"", ""Харьковская область""]"
"["" Натальевский парк (Натальевка усадьба)""]","["" Владимировка Харьковская область 62023""]"
"["" «Митасов-ленд»: двор в котором жил Олег Митасов""]","["" Харьков"", ""ул. Искусств"", ""18 (переулок Краснознамённый"", ""18)""]"
"["" Мемориальный комплекс «Высота маршала И. С. Конева»""]","["" Солоницевка"", ""Харьковская область""]"
"["" Парк им. Т.Г. Шевченко""]","["" Харьков"", ""парк им. Т.Г. Шевченко""]"
"["" Центральный парк культуры и отдыха им. М. Горького""]","["" Харьков"", ""Парк имени Максима Горького""]"
"["" Зеркальная струя""]","["" Харьков"", ""Зеркальная струя""]"
"["" Институт ионосферы"", ""г. Змиев: одно из чудес СССР""]","["" Змиев"", ""Институт ионосферы""]"
"["" Музей сексуальных культур мира""]","["" Харьков"", ""ул. Мироносицкая"", ""81 А""]"
"["" Национальный музей Сковороды""]","["" Сковородиновка"", ""Харьковская область""]"
"["" Краснокутский дендропарк""]","["" пгт Краснокутск"", ""ул. Тельмана"", ""10"", ""Краснокутский р-н"", ""Харьковская обл.""]"
"["" Музей природы""]","["" Харьков"", ""ул. Тринклера"", ""8""]"
"["" Музей авиатехники в Коротиче""]","["" поселок Коротич"", ""Харьковский район""]"
"["" Памятник Влюбленным""]","["" Харьков"", ""м. Архитектора Бекетова""]"
"["" Усадьба Шидловских в пгт. Старый Мерчик""]","["" Пала́цово-па́рковий ко́мплекс «Старомерча́нський»""]"
"["" Канатная дорога""]","["" Харьков"", ""Канатная дорога""]"
"["" Музей воды""]","["" Харьков"", ""ул. Конторская"", ""90""]"
"["" Памятники героям «12 стульев»""]","["" Харьков"", ""ул. Петровского"", ""21""]"
"["" Исторический музей""]","["" Харьков"", ""ул. Университетская"", ""5""]"
